Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.1492	orf19.1492	PRP39	PRP39		14177.4	12033.8	13488	13790.8	15415.2	18371.8
orf19.1493	orf19.1493	RAD7	RAD7		33179.4	27890.1	34803.5	56425.9	52516.1	63877.2
orf19.1494	orf19.1494	RAD23	RAD23		143150	139261	144704	209780	189261	174086
orf19.1495	orf19.1495	orf19.1495	orf19.1495		119688	134133	141186	127652	96708.4	120736
orf19.1496	orf19.1496	orf19.1496	orf19.1496		5371.76	5848.77	5834.63		4936.7	7367.77
orf19.1497	orf19.1497	ZCF6	ZCF6		4949.48	4969.01	3965.08	6332.57	9354.41	9604.61
orf19.1499	orf19.1499	CTF1	CTF1		6182.8	5292.9	4781.14	6413.78	7277.88	7960.87
orf19.150	orf19.150	TIM17	TIM17		7250.08	17666.2	15007.2			1577.54
orf19.1500	orf19.1500	orf19.1500	orf19.1500		21540	25006.1	20285.8	24190	31482.6	32933.2
orf19.1502	orf19.1502	orf19.1502	orf19.1502		4749.47	4466.47	5050.02	6396.53	4386.56	4451.17
orf19.1504	orf19.1504	orf19.1504	orf19.1504		21086.1	16467.3	16270	27089	32737.4	44694.8
orf19.1505	orf19.1505	orf19.1505	orf19.1505		5486.8	8152.38	5675.64	14998.1	17227.3	16924.9
orf19.1507	orf19.1507	AMN1	AMN1		242.672			1875.59		641.623
orf19.1509	orf19.1509	ROD1	ROD1		9921.09	9692.92	10099.1	11947.4	11634.5	13359.9
orf19.151	orf19.151	TPO5	TPO5		4835.57	1910.68	4978.73	2680.58	2106.37	4226.94
orf19.1510	orf19.1510	SRD1	SRD1		5187.22	5741.55	4856.9		3174.9	3418.64
orf19.1513	orf19.1513	FAB1	FAB1		16143.3	13885	15905.5	17482.2	26165.4	32126.4
orf19.1514	orf19.1514	orf19.1514	orf19.1514		45141.4	43433	50352.4	41096.7	34319.9	31303
orf19.1515	orf19.1515	CHT4	CHT4		11825.9	13829.8	15691.6	46246	48150.3	42225.3
orf19.1516	orf19.1516	orf19.1516	orf19.1516		68972.5	72648.6	74831.2	219840	179577	172153
orf19.1517	orf19.1517	ARO3	ARO3		721819	675249	708291	400111	363157	334339
orf19.1519	orf19.1519	orf19.1519	orf19.1519		3395.09	5355.79	2796.3	4959.98	3395.77	5836.93
orf19.1522	orf19.1522	orf19.1522	orf19.1522		11557.5	13269.8	12531	28067	21065.2	29132
orf19.1525	orf19.1525	orf19.1525	orf19.1525		15845.3	13924.9	15328.9	18503.2	15909.7	18450.3
orf19.1526	orf19.1526	SNF2	SNF2		44837	40238.6	39976.7	34284.6	44450.3	49675.6
orf19.1527	orf19.1527	orf19.1527	orf19.1527		5280.1	6278.93	6284.65	8120.17	5565.07	5568.52
orf19.1528	orf19.1528	orf19.1528	orf19.1528		52980.3	48164.1	51131.3	24214.2	20315.4	21168.3
orf19.1531	orf19.1531	orf19.1531	orf19.1531		24266.2	20817.6	23478.5	37094.4	44720.9	57914
orf19.1532	orf19.1532	SAM37	SAM37		10940.3	10043.5	9381.42	9333.66	10053.9	11886.3
orf19.1533	orf19.1533	orf19.1533	orf19.1533		100669	87446.5	105131	91243	89957.8	96662.1
orf19.1534	orf19.1534	orf19.1534	orf19.1534		4150.9	735.687	2771.23			2736.42
orf19.1535	orf19.1535	orf19.1535	orf19.1535		54942.2	53524	55026	69241.9	89880.5	77215
orf19.1536	orf19.1536	orf19.1536	orf19.1536		55649.8	42240.2	61301.1	30701.2	36904.7	37517.4
orf19.1538	orf19.1538	TLG2	TLG2		9205.91	8812.56	8927.69	11098.1	16882.3	16374.6
orf19.154	orf19.154	orf19.154	orf19.154		46876.8	18054.6	38926.8	13881.7	11479.4	8784.82
orf19.1542	orf19.1542	HEX3	HEX3		9496.7	9424.09	12519.5	20759.4	17950.9	20290
orf19.1543	orf19.1543	OPI1	OPI1		12639	12967.5	5732.57	6102.77	8859.72	8131.8
orf19.1544	orf19.1544	orf19.1544	orf19.1544		30021.5	19650	18586.1	34079.6	28440.7	35700.6
orf19.1545	orf19.1545	orf19.1545	orf19.1545		68417	72633.5	67643.9	18826.8	8627.43	20045.2
orf19.1546	orf19.1546	orf19.1546	orf19.1546		88620.7	87014.5	91654.6	75683.8	72890.6	70743.1
orf19.1548	orf19.1548	orf19.1548	orf19.1548		25266.8	17884.7	13640.7	8195.71	11746.1	38443.6
orf19.1549	orf19.1549	orf19.1549	orf19.1549		340241	312780	333098	190960	175525	200926
orf19.155	orf19.155	URE2	URE2		113318	116753	113094	100965	83235.7	103873
orf19.1552	orf19.1552	CPR3	CPR3		499083	524335	471692	865181	717669	668862
orf19.1553	orf19.1553	ENT3	ENT3		242322	268870	280530	402823	317764	331624
orf19.1555	orf19.1555	SAC3	SAC3		8108.86	6056.4	6230.08	4850.8	7912.33	11397.6
orf19.1559	orf19.1559	HOM2	HOM2		254908	291150	288732	277381	282744	265244
orf19.156	orf19.156	FGR51	FGR51		10129.4	10826.7	9024.64	21296	23804.1	29930.7
orf19.1560	orf19.1560	POB3	POB3		430519	457735	469108	1.00378e+06	926662	996274
orf19.1564	orf19.1564	orf19.1564	orf19.1564		134125	110865	81854.3	94608.2	164995	555147
orf19.1565	orf19.1565	orf19.1565	orf19.1565		6280	5986.17	5880.26	11128.5	8650.25	9592.83
orf19.1566	orf19.1566	UTP21	UTP21		28793.5	29306.9	29299.7	15766.6	20466.4	22333.2
orf19.1567	orf19.1567	orf19.1567	orf19.1567		6962.93	5922.39	5942.31	5343.04	8965.11	8800.22
orf19.1569	orf19.1569	UTP22	UTP22		36580	31268.1	35516.6	20037.4	27059.4	28807.5
orf19.1570	orf19.1570	ERG7	ERG7		36083.8	26654.1	30709.9	15548	23361.7	25514.3
orf19.1573	orf19.1573	orf19.1573	orf19.1573		16038.9	17919.4	17149.8	17434.3	20904.7	20861.7
orf19.1574	orf19.1574	orf19.1574	orf19.1574		23806.1	25271.1	31055.9	70448.8	53562.1	61053.8
orf19.1575	orf19.1575	PRS1	PRS1		29605	28593.3	28537	17127.1	19243.3	18551.4
orf19.1576	orf19.1576	orf19.1576	orf19.1576		21150.7	25770.7	31501.5	64617.5	59422.9	73184.3
orf19.1578	orf19.1578	orf19.1578	orf19.1578		83497.6	76922	76357.5	38627.6	56681.4	57799.9
orf19.158	orf19.158	orf19.158	orf19.158		33823.6	34333.6	39109.8	52193.3	38561.6	34906.8
orf19.1584	orf19.1584	orf19.1584	orf19.1584		7233.39	2464.39	6234.58	1430.75		13601.8
orf19.1585	orf19.1585	ZRT2	ZRT2		18661.5	12591.1	1848.16	414.357	747.697	
orf19.1588	orf19.1588	orf19.1588	orf19.1588		109529	103726	92050.3	95412	83138.8	110551
orf19.1589.1;orf19.5809	orf19.5809;orf19.1589.1	orf19.1589.1;orf19.5809	orf19.1589.1;orf19.5809		24065.8	24828.5	22534.4	24431.7	29382.6	34632.8
orf19.1590	orf19.1590	orf19.1590	orf19.1590		5129.13	5219.33	4720.37	11498.9	12382.3	15062
orf19.1591	orf19.1591	ERG10	ERG10		1.00639e+06	877885	890569	777678	732869	710376
orf19.1592	orf19.1592	orf19.1592	orf19.1592		6327.93	1952.96	5608	1690		10115.2
orf19.1595	orf19.1595	orf19.1595	orf19.1595		5218.22	2807.22			4575.96	9454.19
orf19.1596	orf19.1596	FGR28	FGR28		3396.64	3461	2765.76	2800.04	5778.75	5174.02
orf19.1597	orf19.1597	ABG1	ABG1		15303.4	17245.8	13708.6	9691.9	9319.42	11456.3
orf19.1600	orf19.1600	orf19.1600	orf19.1600		2052.99	2206.64	2166.81	10273.8	8540.42	8316.99
orf19.1601	orf19.1601	RPL3	RPL3		1.0379e+06	778351	949712	276025	311293	267231
orf19.1604	orf19.1604	orf19.1604	orf19.1604		3633.51	3529.27	4074.84	1942.55	2929.32	3309.4
orf19.1605	orf19.1605	PMS1	PMS1		2461.66	1997.46	2189.71	3703.84	3481.59	4011.79
orf19.1606	orf19.1606	orf19.1606	orf19.1606		2926.62	1857.47		14649.1	14225.6	13984.1
orf19.1607	orf19.1607	ALR1	ALR1		28426.6	32415.4	25449.3	21834.5	16283.8	23074.3
orf19.1609	orf19.1609	orf19.1609	orf19.1609		44832.6	38435.2	33732.4	27090.6	21423.4	26896.9
orf19.1613	orf19.1613	ILV2	ILV2		316552	275545	297759	112528	88805	89701
orf19.1614	orf19.1614	MEP1	MEP1		2597.83	1995.89	2634.07	890.25		
orf19.1617	orf19.1617	orf19.1617	orf19.1617		2335.28	2512.14	2426.95	3655.85	3168.91	3061.62
orf19.1618	orf19.1618	GFA1	GFA1		447286	387536	349104	351314	413996	522911
orf19.1618.1	orf19.1618.1	orf19.1618.1	orf19.1618.1		24886.5	25281.6	28105.8	25149.6	16035.6	35210.4
